Author,Resort,Count,Role,cluster
Daniel S. Aegerter,meinung,1,Unknown,1
Daniel Steinvorth,international,104,Unknown,9
Daniel Theweleit,sport,2,Unknown,6
Daniel Zuberbühler,meinung,1,Unknown,3
Daniela Kuhn,nzz-am-sonntag,1,Unknown,7
Daniela Prugger,international,3,Unknown,2
Daniela Tan,feuilleton,5,Unknown,0
Daniele Muscionico,feuilleton,4,Unknown,0
Danijel Beljan,Unspecified,2,Unknown,1
Dario Veréb,fotografie,3,Bildredaktion,6
David Allemann,meinung,1,Unknown,3
David Axe,international,2,Unknown,2
David Bach,meinung,2,Unknown,3
David Luhnow,international,1,Unknown,3
David Signer,international,74,Unknown,2
David Stadelmann,meinung,2,Unknown,3
David Vogel,Unspecified,31,Podcast,2
David Vonplon,schweiz,49,Schweiz,7
Davide Coppo,feuilleton,1,Unknown,9
Deborah Stoffel,sport,4,Unknown,11
Den Haag,international,1,Unknown,3
Denise Bucher,feuilleton,49,Kultur,0
Denise Laufer,report-und-debatte,1,Unknown,7
Dennis Frasch,nzz-am-sonntag,6,International,1
Dieter Bachmann,wirtschaft,74,Wirtschaft,3
Dieter Borchmeyer,feuilleton,5,Unknown,0
Dietmar Hansch,feuilleton,1,Unknown,0
Dietrich Murswiek,meinung,1,Unknown,1
Dima Wannous,feuilleton,3,Unknown,2
Dina Litovsky,wirtschaft,1,Unknown,3
Dirk Meyer,meinung,1,Unknown,3
Dmitri Durnjew,international,1,Unknown,2
Dmitri Gudkow,meinung,1,Unknown,2
Domenico Blass,reisen,1,Unknown,9
Dominic Nahr,international,21,Fotografen,2
Dominic Nahr Porsel,schweiz,1,Unknown,9
Dominic Steinmann,schweiz,1,Unknown,7
Dominic Wirth,sport,45,Sport,6
Dominik Feldges,wirtschaft,116,Wirtschaft,3
Dominik Pietzcker,feuilleton,1,Unknown,0
Dominik Schottner,Unspecified,8,Unknown,1
Dominique Burckhardt,international,2,International,5
Dominique Ursprung,meinung,1,Unknown,7
Dorothea Walchshäusl,feuilleton,9,Unknown,0
Dzvinka Pinchuk,international,1,Unknown,2
Dörte Welti,mobilitaet,3,Unknown,5
Eberhard Krummheuer,mobilitaet,7,Unknown,7
Eckhard Jesse,meinung,1,Unknown,1
Eduard Kaeser,meinung,5,Unknown,3
Eduard Kiener,meinung,1,Unknown,3
Eduardo Halfon,feuilleton,1,Unknown,10
Edward Luttwak,meinung,2,Unknown,2
Eflamm Mordrelle,finanzen,56,Wirtschaft,3
Ehrenzeller Keystone,schweiz,1,Unknown,7
Eike Hoppmann,Unspecified,13,Visuals & Tech,2
Ekkehard Kraft,meinung,3,Unknown,2
Elena Oberholzer,international,39,Nachrichten,1
Elena Panagiotidis,panorama,33,Nachrichten,9
Eleonore Büning,feuilleton,11,Unknown,0
Eliane Perret,meinung,1,Unknown,7
Eliot A. Cohen,meinung,1,Unknown,2
Elisa Malinverni,sport,3,Unknown,6
Elisabeth Michel-Alder,meinung,1,Unknown,7
Elizabeth Bick,wirtschaft,1,Unknown,3
Elke Bodderas,international,11,Unknown,1
Elmar Brümmer,sport,59,Unknown,6
Elmar Wagner,sport,1,Unknown,6
Emil Eichinger,wissenschaft,1,Unknown,3
Enas Tantesh,international,2,Unknown,2
Ennio Leanza,schweiz,1,Unknown,5
Eric Facon,feuilleton,2,Unknown,0
Eric Gujer,meinung,24,Chefredaktion,1
Eric Matt,wirtschaft,10,Unknown,3
Eric Niiler,international,1,Unknown,3
Erich Aschwanden,schweiz,67,Schweiz,7
Erich Herzog,report-und-debatte,1,Unknown,7
Erika Burri,international,18,Unknown,5
Ernst Baltensperger,meinung,1,Unknown,1
Ernst K. Ruf,meinung,1,Unknown,7
Ernst Piper,feuilleton,1,Unknown,0
Ernst Stocker,meinung,1,Unknown,12
Esther Straub,feuilleton,1,Unknown,1
Esther Widmann,wissenschaft,20,Wissenschaft,11
Esthy Baumann-Rüdiger,gesellschaft,14,Wochenende / Gesellschaft,9
Esthy Baumann-Rüdiger<br>,gesellschaft,1,Wochenende / Gesellschaft,7
Eva Breitenstein,sport,90,Sport,6
Eva Clausen,feuilleton,1,Unknown,0
Eva Hirschi,schweiz,1,Unknown,2
Eva Maria Belser,meinung,1,Unknown,2
Eva Mell,wissenschaft,33,Wissenschaft,11
Eva Wolfangel,folio,1,Unknown,3
Eveline Geiser,wissenschaft,6,Unknown,11
Evelyne Schmid,meinung,1,Unknown,7
Ewan Morrison,meinung,1,Unknown,8
Fabian Baumgartner,zuerich,77,Zürich,12
Fabian Hoberg,mobilitaet,18,Unknown,5
Fabian Kretschmer,nzz-am-sonntag,1,Unknown,5
Fabian Ruch,sport,48,Unknown,6
Fabian Schäfer,schweiz,128,Bundeshaus,7
Fabio Regazzi,meinung,1,Unknown,3
Fabrice Obrist,finanzen,1,Unknown,3
Fatina Keilani,international,33,Unknown,1
Federico Mazzola,meinung,1,Unknown,12
Felicitas Witte,sport,5,Unknown,6
Felix Ackermann,feuilleton,2,Unknown,2
Felix Adler,schweiz,1,Unknown,7
