Author,Resort,Count
Daniel S. Aegerter,meinung,1
Daniel Sprecher,sport,1
Daniel Steinvorth,international,104
Daniel Steinvorth,wirtschaft,10
Daniel Steinvorth,panorama,9
Daniel Steinvorth,feuilleton,6
Daniel Steinvorth,meinung,4
Daniel Steinvorth,pro,3
Daniel Steinvorth,schweiz,2
Daniel Steinvorth,fotografie,1
Daniel Theweleit,sport,2
Daniel Zuberbühler,meinung,1
Daniela Kuhn,nzz-am-sonntag,1
Daniela Prugger,international,3
Daniela Prugger,panorama,1
Daniela Tan,feuilleton,5
Daniele Muscionico,feuilleton,4
Danijel Beljan,Unspecified,2
Daphne Hruby,wissenschaft,1
Dario Veréb,fotografie,3
Dario Veréb,feuilleton,3
Dario Veréb,sport,2
David Allemann,meinung,1
David Axe,international,2
David Bach,meinung,2
David Luhnow,international,1
David Signer,international,74
David Signer,wirtschaft,6
David Signer,panorama,4
David Signer,feuilleton,2
David Signer,meinung,1
David Signer,schweiz,1
David Stadelmann,meinung,2
David Stadelmann,feuilleton,1
David Vogel,Unspecified,31
David Vogel,pro,1
David Vonplon,schweiz,49
David Vonplon,meinung,14
David Vonplon,wissenschaft,1
David Vonplon,wochenende,1
Davide Coppo,feuilleton,1
Deborah Stoffel,sport,4
Den Haag,international,1
Denis Oliver Widler,Unspecified,1
Denise Bucher,feuilleton,49
Denise Laufer,report-und-debatte,1
Dennis Frasch,nzz-am-sonntag,6
Dennis Frasch,international,3
Dennis Frasch,report-und-debatte,2
Diana Dutsyk,feuilleton,1
Dieter Bachmann,wirtschaft,74
Dieter Bachmann,meinung,5
Dieter Bachmann,english,1
Dieter Borchmeyer,feuilleton,5
Dietmar Hansch,feuilleton,1
Dietrich Murswiek,meinung,1
Dima Wannous,feuilleton,3
Dina Litovsky,wirtschaft,1
Dirk Meyer,meinung,1
Dmitri Durnjew,international,1
Dmitri Gudkow,meinung,1
Domenico Blass,reisen,1
Dominic Nahr,international,21
Dominic Nahr,schweiz,3
Dominic Nahr,gesellschaft,2
Dominic Nahr,zuerich,1
Dominic Nahr,feuilleton,1
Dominic Nahr Porsel,schweiz,1
Dominic Steinmann,schweiz,1
Dominic Wirth,sport,45
Dominic Wirth,meinung,4
Dominik Feldges,wirtschaft,116
Dominik Feldges,meinung,15
Dominik Feldges,finanzen,2
Dominik Feldges,schweiz,1
Dominik Feldges,english,1
Dominik Pietzcker,feuilleton,1
Dominik Schottner,Unspecified,8
Dominique Burckhardt,international,2
Dominique Ursprung,meinung,1
Dorothea Walchshäusl,feuilleton,9
Dzvinka Pinchuk,international,1
Dörte Welti,mobilitaet,3
Eberhard Krummheuer,mobilitaet,7
Eckhard Jesse,meinung,1
Eduard Kaeser,meinung,5
Eduard Kaeser,wissenschaft,2
Eduard Kiener,meinung,1
Eduardo Halfon,feuilleton,1
Edward Luttwak,meinung,2
Eflamm Mordrelle,finanzen,56
Eflamm Mordrelle,wirtschaft,18
Eflamm Mordrelle,meinung,6
Eflamm Mordrelle,feuilleton,1
Eflamm Mordrelle,pro,1
Eflamm Mordrelle,zuerich,1
Ehrenzeller Keystone,schweiz,1
Eike Hoppmann,Unspecified,13
Eike Hoppmann,schweiz,1
Eike Hoppmann,pro,1
Ekkehard Kraft,meinung,3
Ekkehard Kraft,feuilleton,1
Elena Oberholzer,international,39
Elena Oberholzer,panorama,8
Elena Oberholzer,feuilleton,5
Elena Oberholzer,wirtschaft,3
Elena Oberholzer,Unspecified,1
Elena Oberholzer,schweiz,1
Elena Oberholzer,gesellschaft,1
Elena Panagiotidis,panorama,33
Elena Panagiotidis,international,8
Elena Panagiotidis,schweiz,1
Elena Panagiotidis,zuerich,1
Elena Panagiotidis,wirtschaft,1
Eleonore Büning,feuilleton,11
Eliane Perret,meinung,1
Eliot A. Cohen,meinung,1
Elisa Malinverni,sport,3
Elisabeth Michel-Alder,meinung,1
Elizabeth Bick,wirtschaft,1
Elke Bodderas,international,11
Elke Bodderas,der-andere-blick,10
Elmar Brümmer,sport,59
Elmar Wagner,sport,1
Emil Eichinger,wissenschaft,1
Enas Tantesh,international,2
Enas Tantesh,nzz-am-sonntag-magazin,1
Ennio Leanza,schweiz,1
Ennio Leanza,zuerich,1
Eric Facon,feuilleton,2
Eric Gujer,meinung,24
Eric Gujer,der-andere-blick,11
Eric Gujer,Unspecified,6
Eric Gujer,english,1
Eric Matt,wirtschaft,10
Eric Matt,panorama,1
Eric Niiler,international,1
Erich Aschwanden,schweiz,67
Erich Aschwanden,sport,2
Erich Aschwanden,zuerich,1
Erich Aschwanden,meinung,1
Erich Herzog,report-und-debatte,1
Erika Burri,international,18
Erika Burri,meinung,4
